"fn","test","status","message"
"plot_sample_depth_pq","happy","OK",""
"plot_sample_depth_pq","density","OK",""
"plot_sample_depth_pq","empty_samples","OK",""
"plot_sample_depth_pq","single_sample","OK",""
"plot_tax_count_pq","happy","ERROR","`fact` is required."
"plot_tax_count_pq","fact","OK",""
"plot_tax_count_pq","na_tax","ERROR","`fact` is required."
"plot_tax_count_pq","single_taxon","ERROR","`fact` is required."
"plot_taxa_heatmap_pq","happy","OK",""
"plot_taxa_heatmap_pq","log10","OK",""
"plot_taxa_heatmap_pq","na_tax","OK",""
"plot_taxa_heatmap_pq","single_taxon","OK",""
"gg_bubbles_pq","happy","OK",""
"gg_bubbles_pq","na_tax","OK",""
"gg_bubbles_pq","empty_samples","OK",""
"community_sharing_plot","happy","OK",""
"community_sharing_plot","na_tax","OK",""
"community_sharing_barplot","happy","WARNING","for 'A — B' in 'mbcsToSbcs': - substituted for — (U+2014)"
"community_sharing_barplot","single_sample","ERROR","Number of modalities must be between 2 and 4, not 1."
"ternary_pq","happy_3grp","OK",""
"ternary_pq","two_group_edge","ERROR","`group` must have exactly 3 or 4 levels, not 2."
"ternary_pq","na_tax","OK",""
"ternary_biomarker_pq","happy_3grp","OK",""
"ternary_biomarker_pq","two_group_edge","ERROR","`fact` must have exactly 3 levels, not 2."
"krona_like_pq","static","WARNING","conversion failure on 'n = 3 909' in 'mbcsToSbcs': for   (U+202F)"
"krona_like_pq","interactive","OK",""
"krona_like_pq","na_tax","WARNING","conversion failure on 'n = 3 909' in 'mbcsToSbcs': for   (U+202F)"
"neg_control_diag_pq","happy","ERROR","`neg_control` must evaluate to a logical vector."
"neg_control_diag_pq","logical_negctrl","OK",""
"break_outlier_axis","added_to_plot","OK",""
"break_outlier_axis","bare_spec","OK",""
"zoom_outlier_axis","added_to_plot","OK",""
"zoom_outlier_axis","bare_spec","OK",""
"reorder_distinct_colors","added_to_plot","ERROR","The plot must have a discrete fill scale."
"comet_pq","happy","ERROR","Must supply one of:
ℹ Wide format: `x_start`, `x_end`, `y_start`, `y_end`.
ℹ Long format: `x`, `y`, `modality`, `id`."
"comet_pq","empty_df","ERROR","Must supply one of:
ℹ Wide format: `x_start`, `x_end`, `y_start`, `y_end`.
ℹ Long format: `x`, `y`, `modality`, `id`."
"wheat_plot","happy","OK",""
"wheat_plot","empty_df","ERROR","'from' doit être un nombre fini"
"track_wkflow_formattable","happy","OK",""
"idest_colors","n5","OK",""
"idest_colors","n0_edge","OK",""
"idest_colors","continuous","OK",""
"idest_pal","pal_5","ERROR","impossible de trouver la fonction ""idest_pal"""
"default_sharing_metrics","happy","OK",""
"make_sharing_metric","happy","OK",""
"scale_color_idest_d","happy","OK",""
"scale_color_idest_c","happy","OK",""
"scale_fill_idest_d","happy","OK",""
"scale_fill_idest_c","happy","OK",""
"scale_color_pq_discrete","happy","OK",""
"scale_fill_pq_discrete","happy","OK",""
"theme_idest","happy","OK",""
"theme_pq_minimal","happy","OK",""
"palette_earthtones","skipped","SKIPPED","downloads map tiles over the network (provider Esri.WorldImagery)"
